year,crime,district,neighborhood,address,description
2010-05,241100,6,79,8430 HALL,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,4,61,1827 OFALLON ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,62,1228 N 9TH ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,33,1541 CASTLE LN,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,33,1106 GRATTAN ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,33,1205 S 14TH ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,1,7834 RIO TINTO PL,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,1,7841 TENNESSEE PL,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,17,5111 S BROADWAY,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,16,2831 MERAMEC ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,5,4930 CHRISTY BLVD,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,1,7112 PENNSYLVANIA AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,16,4120 S COMPTON AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,62,1228 N 9TH ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,62,1228 N 9TH ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,16,4215 LOUISIANA AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,61,1630 CASS AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,250000,4,36,709 N TUCKER BLVD,LOITERING-BEGGING
2010-05,266999,1,5,4930 CHRISTY BLVD,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,5,4321 MORGANFORD RD,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,62,910 NEW HAVEN DR,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,9,28,4117 LAFAYETTE AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,182400,3,19,3654 VIRGINIA AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,4,62,1407 N 8TH ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,6,71,4962 UNION BLVD,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,17,4720 S BROADWAY,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,7,48,5561 CLEMENS AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,7,50,5750 NATURAL BRIDGE AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,17,4420 S BROADWAY,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,3,30,3002 WYOMING ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,1,5711 S BROADWAY,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,3,18,3666 ILLINOIS AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,3,19,3438 POTOMAC ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,2,8200 S BROADWAY,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,5,4660 CHIPPEWA ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,16,4215 LOUISIANA AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,3,15,3718 MCDONALD AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,182400,8,53,1310 BAYARD AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,7,50,2806 BELT AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,7,50,5813 LOTUS AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,3,18,1900 CHEROKEE ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,182400,1,18,2118 CHIPPEWA ST,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,9,39,4331 GIBSON AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,2,41,6001 MANCHESTER AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,8,54,1315 MARCUS AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,8,56,4005 GREER AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,3,20,1615 S BROADWAY,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,9,59,3637 GARFIELD AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,6,72,4921 DAVISON AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,1,17,4720 S BROADWAY,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,35,700 CLARK AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266510,7,38,5234 WESTMINSTER PL,PUBLIC ORDER-TRESPASSING
2010-05,241100,8,55,4765 NORTHLAND AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,9,29,3641 RUTGER ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,182400,3,19,3723 S JEFFERSON AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,1,1,5500 S BROADWAY,DRUGS-POSSESSION/MARIJUANA
2010-05,241100,6,68,4289 E SAN FRANCISCO AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,229999,3,24,2501 S JEFFERSON AVE,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
2010-05,241100,3,25,3200 S GRAND BLVD,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,3,19,3544 MICHIGAN AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,9,31,2648 RUTGER ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266510,1,16,4041 S BROADWAY,PUBLIC ORDER-TRESPASSING
2010-05,266999,7,50,3022 BELT AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266510,2,6,4926 EICHELBERGER ST,PUBLIC ORDER-TRESPASSING
2010-05,266510,3,30,3411 CHEROKEE ST,PUBLIC ORDER-TRESPASSING
2010-05,241100,8,56,2921 N TAYLOR AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,182400,4,62,1101 N BROADWAY,DRUGS-POSSESSION/MARIJUANA
2010-05,266510,3,21,1919 S 11TH ST,PUBLIC ORDER-TRESPASSING
2010-05,241100,3,24,2643 ALLEN AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,3,27,2255 S GRAND BLVD,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266510,5,67,4127 N GRAND BLVD,PUBLIC ORDER-TRESPASSING
2010-05,266510,4,33,1120 DILLON DR,PUBLIC ORDER-TRESPASSING
2010-05,266510,5,67,4127 N GRAND BLVD,PUBLIC ORDER-TRESPASSING
2010-05,241100,8,55,4730 ASHLAND AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266510,6,72,5744 LILLIAN AVE,PUBLIC ORDER-TRESPASSING
2010-05,182400,1,16,3864 KEOKUK ST,DRUGS-POSSESSION/MARIJUANA
2010-05,266510,5,67,4127 N GRAND BLVD,PUBLIC ORDER-TRESPASSING
2010-05,241100,8,56,4431 ASHLAND AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266510,4,36,2206 LUCAS AVE,PUBLIC ORDER-TRESPASSING
2010-05,182400,9,39,4346 SWAN AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,4,64,1908 N 9TH ST,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,5,67,4317 LINTON AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,1,5,4116 TAFT AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,6,72,5522 GENEVIEVE AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,7,51,5084 MINERVA AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,182400,5,67,4209 PECK ST,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,1,5,4660 CHIPPEWA ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,9,39,4331 GIBSON AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,6,74,8811 LOWELL ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,7,47,250 DEBALIEVERE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,229999,5,67,4127 N GRAND BLVD,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
2010-05,229999,6,72,0 LILLIAN AVE / RIVERV,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
2010-05,266510,5,67,4127 N GRAND BLVD,PUBLIC ORDER-TRESPASSING
2010-05,182400,9,37,35 S GRAND BLVD,DRUGS-POSSESSION/MARIJUANA
2010-05,266510,4,33,1440 KEALTY LN,PUBLIC ORDER-TRESPASSING
2010-05,266510,5,67,4127 N GRAND BLVD,PUBLIC ORDER-TRESPASSING
2010-05,182400,3,19,2741 CHEROKEE ST,DRUGS-POSSESSION/MARIJUANA
2010-05,241100,3,81,2700 CENTER CROSS DRIVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,2,9,7201 LANSDOWNE AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,3,18,3736 SALENA ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,182400,7,78,1400 BELT AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,5,65,3619 N 14TH ST,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,9,59,3711 GARFIELD AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,4,35,0 S LEONOR K SULLIVAN,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,2,12,5250 BISCHOFF AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,2,13,5825 SOUTHWEST AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,1,5,6114 MORGANFORD RD,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,4,61,1439 N 16TH ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,229999,5,67,4129 N GRAND BLVD,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
2010-05,266999,7,78,1376 HODIAMONT AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,182400,1,16,2821 MERAMEC ST,DRUGS-POSSESSION/MARIJUANA
2010-05,266510,4,61,1439 N 16TH ST,PUBLIC ORDER-TRESPASSING
2010-05,241100,1,16,5022 IDAHO AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,182400,9,77,3402 WASHINGTON AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,9,59,3035 CASS AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,9,59,919 N JEFFERSON AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,229999,5,67,4129 N GRAND BLVD,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
2010-05,250000,9,38,14 MARYLAND PLZ,LOITERING-BEGGING
2010-05,241100,1,5,4156 FEDERER ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,1,5,4640 CHIPPEWA ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,4,35,900 OLIVE ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,182400,7,51,1107 N KINGSHIGHWAY BLVD,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,2,8,4255 HAMPTON AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,9,77,3601 LOCUST ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266510,6,79,6020 N BROADWAY,PUBLIC ORDER-TRESPASSING
2010-05,182400,7,52,5128 WABADA AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,1,16,4213 LOUISIANA AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,2,14,3701 S KINGSHIGHWAY BLVD,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,5,66,5138 CONDE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,4,35,200 S TUCKER BLVD,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,8,56,3969 PALM ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,2,8,4915 HAMPTON AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,5,65,3714 N. 25TH,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,182400,3,15,3625 BAMBERGER AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,241100,1,4,0 EUGENE AVE / LOUGHBO,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,4,35,101 N BROADWAY,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266510,3,15,3765 GRAVOIS AVE,PUBLIC ORDER-TRESPASSING
2010-05,241100,7,48,1212 TEMPLE PL,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266510,3,19,3504 S COMPTON AVE,PUBLIC ORDER-TRESPASSING
2010-05,266999,7,49,5453 DELMAR BLVD,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,7,49,5453 DELMAR BLVD,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,182400,7,78,1426 HAMILTON AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,241100,3,21,2001 MENARD ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,6,69,4868 KOSSUTH AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,2,8,4255 HAMPTON AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,182400,5,66,4340 N 19TH ST,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,3,30,3221 OREGON AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,8,53,789 AUBERT AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,241100,3,30,3301 MINNESOTA AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,182400,9,77,3847 ENRIGHT AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,1,5,3961 EICHELBERGER ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,8,53,1167 WALTON AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,182400,4,36,2301 CHOUTEAU AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,8,56,4175 ASHLAND AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,6,69,4323 SHREVE AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,4,60,1601 N 19TH ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266510,8,56,1723 N TAYLOR AVE,PUBLIC ORDER-TRESPASSING
2010-05,182400,8,56,4118 LABADIE AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,229999,9,38,4355 MARYLAND AVE,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
2010-05,241100,3,15,3926 UTAH ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266510,2,14,3920 HAMPTON AVE,PUBLIC ORDER-TRESPASSING
2010-05,266999,8,54,4523 MCMILLAN AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266510,9,38,4444 FOREST PARK AVE,PUBLIC ORDER-TRESPASSING
2010-05,266999,7,52,5220 MAFFITT AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266510,4,36,1448 LASALLE,PUBLIC ORDER-TRESPASSING
2010-05,182400,1,16,3934 S GRAND BLVD,DRUGS-POSSESSION/MARIJUANA
2010-05,266510,1,1,7861 TENNESSEE PL,PUBLIC ORDER-TRESPASSING
2010-05,241100,8,53,1231 N EUCLID AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,3,30,3228 NEBRASKA AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,8,53,4900 EUCLID TER,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,1,16,3900 S GRAND BLVD,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,8,54,4543 MCMILLAN AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,9,31,1304 S CARDINAL AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,3,15,3800 GRAVOIS AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,6,73,8731 NORTHCREST LN,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,229999,4,36,303 N 17TH ST,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
2010-05,250000,4,35,600 PINE ST,LOITERING-BEGGING
2010-05,266510,6,69,3720 N KINGSHIGHWAY BLVD,PUBLIC ORDER-TRESPASSING
2010-05,266999,7,49,5461 DELMAR BLVD,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,182400,5,66,1906 BISSELL ST,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,8,54,4610 DR MARTIN LUTHER KIN,DRUGS-POSSESSION/MARIJUANA
2010-05,241100,1,16,3841 DUNNICA AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,182400,3,25,3230 HARTFORD ST,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,3,26,1900 S GRAND BLVD,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,3,25,3230 HARTFORD ST,DRUGS-POSSESSION/MARIJUANA
2010-05,241100,3,25,2623 MINNESOTA AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,3,19,3622 CALIFORNIA AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,1,5,4660 CHIPPEWA ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,8,56,4607 N MARKET ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,182400,8,55,4800 LEXINGTON AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,266510,9,39,4308 SWAN AVE,PUBLIC ORDER-TRESPASSING
2010-05,241100,2,6,4962 QUINCY ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,4,35,0 N 4TH ST / MARKET ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,3,30,2846 TEXAS AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,7,48,1183 HODIAMONT AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,2,13,2631 S 59TH ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,7,38,5092 WATERMAN BLVD,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266510,8,57,2612 WHITTIER ST,PUBLIC ORDER-TRESPASSING
2010-05,229999,8,56,4551 DR MARTIN LUTHER KIN,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
2010-05,266999,4,33,1449 RUTGER LN,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266510,3,25,3440 S GRAND BLVD,PUBLIC ORDER-TRESPASSING
2010-05,182400,4,36,1251 MARKET ST,DRUGS-POSSESSION/MARIJUANA
2010-05,241100,5,67,3219 NATURAL BRIDGE AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,4,33,1460 KEALTY LN,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,3,22,3310 WISCONSIN AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,5,59,3712 HEBERT ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266510,3,21,1613 S 9TH ST,PUBLIC ORDER-TRESPASSING
2010-05,241100,3,15,4438 BECK AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,6,69,4423 PENROSE ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,6,69,4403 ANDERSON AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,9,39,955 S KINGSHIGHWAY BLVD,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,182400,3,30,3408 CHEROKEE ST,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,5,59,2601 FALL AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,1,16,2802 GASCONADE ST,DRUGS-POSSESSION/MARIJUANA
2010-05,182400,1,16,3438 ITASKA ST,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,9,31,2723 PARK AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,9,38,4305 LACLEDE AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,5,4660 CHIPPEWA ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,7,78,1398 CLARA AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,1,16,3838 IOWA AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,182400,3,25,3220 HARTFORD ST,DRUGS-POSSESSION/MARIJUANA
2010-05,229999,4,35,150 DR MARTIN LUTHER KIN,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
2010-05,266510,5,67,4127 N GRAND BLVD,PUBLIC ORDER-TRESPASSING
2010-05,266999,5,59,2501 N. GRAND,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,182400,5,65,3930 N FLORISSANT AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,5,68,4560 FAIR AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,5,65,4125 N. FLORISSANT,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,5,67,4127 N. GRAND,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,7,50,5969 HIGHLAND AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,7,78,5342 DR MARTIN LUTHER KIN,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,9,38,4354 LACLEDE AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,1,5,4930 CHRISTY BLVD,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266510,3,24,2851 GRAVOIS AVE,PUBLIC ORDER-TRESPASSING
2010-05,182400,4,35,420 S 8TH ST,DRUGS-POSSESSION/MARIJUANA
2010-05,229999,3,22,0 GRAVOIS RD / S JEFFE,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
2010-05,241100,1,6,4737 MILENTZ AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,1,16,3225 OSAGE ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,9,77,1310 N GRAND BLVD,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,2,14,5800 OLEATHA AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,7,50,2505 HODIAMONT AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,1,16,3000 CHIPPEWA ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,8,57,4131 DR MARTIN LUTHER KIN,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,1,1,7721 ALASKA AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,5,67,4127 N. GRAND,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,5,67,4127 N. GRAND,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,182400,6,68,4467 CLARENCE AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,266999,1,5,4660 CHIPPEWA ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,241100,5,59,2541 BACON ST,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,9,37,1 S COMPTON AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,1,5,4660 CHIPPEWA ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,182400,3,24,2607 GRAVOIS AVE,DRUGS-POSSESSION/MARIJUANA
2010-05,241100,3,15,3601 GRAVOIS AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,241100,8,55,4819 NORTHLAND AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,250000,9,39,1001 S KINGSHIGHWAY BLVD,LOITERING-BEGGING
2010-05,182400,4,36,1720 CHESTNUT ST,DRUGS-POSSESSION/MARIJUANA
2010-05,241100,6,69,4415 NATURAL BRIDGE AVE,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
